DESCRICAO;Cod_filial;FILIAL;CODPROD;DTULTENT;VALORULTENT;QTULTENT
NESTLE GREGO LIGHT MARACUJA 12X360G;1;ATACADO;249;31/03/2021;4,484923;144
NINHO FRUTI MORANGO 8X250G;1;ATACADO;254;31/03/2021;2,890756;320
CHAMBINHO PETIT MRG 12X480G;1;ATACADO;182;31/03/2021;4,673512;288
CHAMBINHO PETIT MOR 16X320G;1;ATACADO;183;31/03/2021;4,096632;2688
NESTLE GREGO IOG LIGHT 3 SAB 6X540G;1;ATACADO;206;31/03/2021;5,620004;90
CHAMYTO IOGURTE MOR+CER CHOC 24X130G;1;ATACADO;167;31/03/2021;2,036181;960
NESTON IOGURTE LIQ MACA BNA 12X850G;1;ATACADO;174;31/03/2021;4,955856;504
IOGURTE NESTLE NATURAL MEL 28X170G;1;ATACADO;201;31/03/2021;1,498853;560
NINHO IOGURTE LIQ MACA E BANANA 12X850G;1;ATACADO;176;31/03/2021;6,26936;672
CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;1;ATACADO;168;31/03/2021;2,036187;1920
NESTLE IOG NATURAL DESNATADO 28X160G;1;ATACADO;200;31/03/2021;1,498835;280
PALLET 1,00X1,20 MTS;1;ATACADO;295;08/03/2021;25,2;84
NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;1;ATACADO;212;31/03/2021;4,043793;576
IOGURTE NESTLE NATURAL 28X170G;1;ATACADO;199;31/03/2021;1,498853;560
NESTLE GREGO IOG FRUTAS VERM 12X400G;1;ATACADO;194;31/03/2021;4,484923;144
NINHO IOGURTE POLPA 6X540G;1;ATACADO;180;31/03/2021;3,31876;9540
NINHO IOGURTE LIQ MACA E BANANA 24X170G;1;ATACADO;287;31/03/2021;1,637921;1440
NESTLE FLAN CARAMELO 20X200G;1;ATACADO;204;27/02/2021;2,070993;200
REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;1;ATACADO;214;31/03/2021;4,064641;780
NINHO IOGURTE MORANGO 24X170G;1;ATACADO;288;31/03/2021;1,637921;1440
NESTON IOGURTE POLPA 2 SABORES 6X540G;1;ATACADO;333;31/03/2021;2,960189;1440
NESTLE BICAM IOGURTE MORANGO 28X150G;1;ATACADO;192;31/03/2021;1,802214;1120
CHANDELLE CHANTILLY CHOCOLATE 24X200G;1;ATACADO;448;31/03/2021;3,029954;480
CHANDELLE CHANTILLY CARAMELO 24X200G;1;ATACADO;449;31/03/2021;3,029975;240
CHANDELLE CHOCOLATE 24X180G;1;ATACADO;450;31/03/2021;2,642403;480
CHANDELLE CHOCOLATE 18X360G;1;ATACADO;453;31/03/2021;4,19907;540
CHAMBINHO CHOCOLATE 16X320G;1;ATACADO;451;31/03/2021;3,583306;576
CHAMYTO LEITE FERMENTADO 21X6X75G;1;ATACADO;759;31/03/2021;3,279147;210
NESTLE NATURAL CENOURA+LARANJA 28X170G;1;ATACADO;198;31/03/2021;1,498853;560
NESTLE IOG LIQ MORANGO 0 LACTOSE 24X170G;1;ATACADO;842;09/04/2020;1,195013;960
NESTON IOGURTE LIQ MACA E BAN 24X170G;1;ATACADO;1517;31/03/2021;1,243561;1440
NESTLE GREGO IOG TRAD + MRG 6X600G;1;ATACADO;1519;31/03/2021;5,620004;180
NESTLE IOGURTE MORANGO 24X170G;1;ATACADO;1509;31/03/2021;1,335014;1920
NESTLE IOGURTE MORANGO 12X900G;1;ATACADO;1511;31/03/2021;5,473747;840
NESTLE IOG VIT DE FRUTA 12X900G;1;ATACADO;1506;31/03/2021;5,47375;672
NESTLE GREGO IOG LT MORANGO 12X360G;1;ATACADO;1508;31/03/2021;4,484923;144
NESTLE IOGURTE MORANGO 12X1,250G;1;ATACADO;1510;24/03/2021;7,198728;120
NESTLE IOGURTE VIT DE FRUTA 12X1,250G;1;ATACADO;1512;08/03/2021;7,197269;720
CHAMYTO GO IOG LIQ MORANGO 24X100G;1;ATACADO;1521;24/03/2021;1,468544;552
CHAMYTO GO IOG LIQ VITAMINA 24X100G;1;ATACADO;1520;08/03/2021;1,468263;552
NESTLE GREGO MORANGO 24X90G;1;ATACADO;1652;31/07/2020;1,167216;432
NESTLE GREGO FLOCOS 24X90G;1;ATACADO;1653;05/08/2020;1,167192;432
NESTLE GREGO TORTA MORANGO 24X90G;1;ATACADO;1958;31/03/2021;1,366178;432
NESTLE GREGO IOG FLOCOS 12X400G;1;ATACADO;1699;31/07/2020;4,053831;144
NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;1;ATACADO;2127;29/01/2021;2,572483;460
NESTLE IOGURTE PEDACOS MORANGO 28X100G;1;ATACADO;1796;30/04/2020;1,230028;560
CHANDELLE CHOCOLATE BRANCO 18X360G;1;ATACADO;1887;31/03/2021;4,19907;180
NESTLE FLAN MORANGO 20X200G;1;ATACADO;2332;26/09/2020;1,927731;400
REQUEIJAO CREMOSO NESTLE 15X200G;1;ATACADO;213;31/03/2021;4,06464;1365
NESFIT IOGURTE MORANGO BAUN 24X170G;1;ATACADO;2042;24/03/2021;1,932241;480
NINHO IOGURTE POLPA 6X720G;1;ATACADO;2373;31/03/2021;5,453087;72
NINHO IOGURTE LIQ MACA E BANANA 24X100G;1;ATACADO;1693;24/03/2021;1,645906;552
NESFIT IOGURTE MORANGO BAUN 20X150G;1;ATACADO;2104;15/01/2021;2,573377;460
CHANDELLE CHOCOLATE 6X720G;1;ATACADO;1697;31/03/2021;6,383151;120
CHAMYTO LEITE FERM 21X6X120G;1;ATACADO;1698;31/03/2021;5,26133;210
NESTLE IOGURTE POLPA MORANGO 6X540G;1;ATACADO;1735;31/03/2021;2,869712;8910
NESTLE IOGURTE POLPA VITAMINA 6X540G;1;ATACADO;1736;31/03/2021;2,86971;2520
IOGURTE GREGO NESTLE TRADICIONAL 12X400G;1;ATACADO;195;31/03/2021;4,484923;144
MOLICO IOGURTE LIQ BAUN 24X170G;1;ATACADO;2455;31/03/2021;1,72472;480
NESTLE IOG VIT DE FRUTA 24X170G;1;ATACADO;1505;31/03/2021;1,335014;1920
NESTLE GREGO TORTA MARACUJA 24X90G;1;ATACADO;1940;31/03/2021;1,366178;432
NESTLE GREGO TRADICIONAL 24X90G;1;ATACADO;1941;31/03/2021;1,366178;432
MOLICO IOGURTE LIQ MRG 12X850G;1;ATACADO;2099;31/03/2021;7,189533;336
MOLICO IOGURTE LIQ MRG 24X170G;1;ATACADO;2100;31/03/2021;1,72472;480
NESFIT IOGURTE FRUTAS VERM 12X850G;1;ATACADO;2037;31/03/2021;7,312883;168
NESFIT IOGURTE MORANGO BAUN 12X850G;1;ATACADO;2038;31/03/2021;7,312854;336
NESFIT IOGURTE MARACUJA AVEIA 12X850G;1;ATACADO;2039;31/03/2021;7,312883;168
NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;1;ATACADO;2040;24/03/2021;1,932241;480
NESFIT IOGURTE MARACUJA AVEIA 24X170G;1;ATACADO;2041;24/03/2021;1,932241;480
NESTLE GREGO TORTA LIMAO 24X90G;1;ATACADO;1963;31/03/2021;1,366178;432
NESTLE GREGO FRUTAS VERMELHAS 24X90G;1;ATACADO;1939;31/03/2021;1,366178;432
CHAMBINHO PETIT MRG 64X80G;1;ATACADO;2347;28/12/2020;0,825112;768
MOLICO IOGURTE LIQ BAUN 12X850G;1;ATACADO;2664;24/03/2021;7,189867;168
